,head1,relation1,head2,relation2,cos_sim_score
0,Course3_W3-S1-L5_-_NLP_Tasks_1-3_-_16_slides_14-45,concept_vocab_index,Course1_W4-S2-L4_Parameter_Estimation_in_Lexicalized_PCFGs_Part_1_5-28,concept_vocab_index,0.8518688511074481
1,Course3_W3-S1-L5_-_NLP_Tasks_1-3_-_16_slides_14-45,concept_vocab_index,Course1_W4-S2-L4_Parameter_Estimation_in_Lexicalized_PCFGs_Part_1_5-28,concept_vocab_index,0.8518688511074481
2,Course3_W3-S1-L5_-_NLP_Tasks_1-3_-_16_slides_14-45,concept_vocab_index,Course1_W4-S2-L4_Parameter_Estimation_in_Lexicalized_PCFGs_Part_1_5-28,concept_vocab_index,0.8518688511074481
3,Course3_W3-S1-L5_-_NLP_Tasks_1-3_-_16_slides_14-45,concept_vocab_index,Course1_W4-S2-L4_Parameter_Estimation_in_Lexicalized_PCFGs_Part_1_5-28,concept_vocab_index,0.8518688511074481
4,Course3_W3-S1-L5_-_NLP_Tasks_1-3_-_16_slides_14-45,concept_vocab_index,Course1_W4-S2-L4_Parameter_Estimation_in_Lexicalized_PCFGs_Part_1_5-28,concept_vocab_index,0.8518688511074481
5,Course3_W3-S1-L5_-_NLP_Tasks_1-3_-_16_slides_14-45,concept_vocab_index,Course1_W4-S2-L4_Parameter_Estimation_in_Lexicalized_PCFGs_Part_1_5-28,concept_vocab_index,0.8518688511074481
6,Course3_W3-S1-L5_-_NLP_Tasks_1-3_-_16_slides_14-45,concept_vocab_index,Course1_W4-S2-L4_Parameter_Estimation_in_Lexicalized_PCFGs_Part_1_5-28,concept_vocab_index,0.8518688511074481
7,Course3_W3-S1-L5_-_NLP_Tasks_1-3_-_16_slides_14-45,concept_vocab_index,Course1_W4-S2-L4_Parameter_Estimation_in_Lexicalized_PCFGs_Part_1_5-28,concept_vocab_index,0.8518688511074481
8,Course3_W3-S1-L5_-_NLP_Tasks_1-3_-_16_slides_14-45,concept_vocab_index,Course1_W4-S2-L4_Parameter_Estimation_in_Lexicalized_PCFGs_Part_1_5-28,concept_vocab_index,0.8518688511074481
9,Course3_W3-S1-L5_-_NLP_Tasks_1-3_-_16_slides_14-45,concept_vocab_index,Course1_W4-S2-L4_Parameter_Estimation_in_Lexicalized_PCFGs_Part_1_5-28,concept_vocab_index,0.8518688511074481
10,Course3_W3-S1-L5_-_NLP_Tasks_1-3_-_16_slides_14-45,concept_vocab_index,Course1_W4-S2-L4_Parameter_Estimation_in_Lexicalized_PCFGs_Part_1_5-28,concept_vocab_index,0.8518688511074481
11,Course3_W3-S1-L5_-_NLP_Tasks_1-3_-_16_slides_14-45,concept_vocab_index,Course1_W4-S2-L4_Parameter_Estimation_in_Lexicalized_PCFGs_Part_1_5-28,concept_vocab_index,0.8518688511074481
12,Course3_W5-S1-L6_-_Lexicalized_Parsing_-_12_slides_09-06,concept_vocab_index,Course1_W3-S2-L1_Introduction_1-12,concept_vocab_index,0.8199131790637312
13,Course3_W5-S1-L6_-_Lexicalized_Parsing_-_12_slides_09-06,concept_vocab_index,Course1_W3-S2-L1_Introduction_1-12,concept_vocab_index,0.8199131790637312
14,Course3_W5-S1-L6_-_Lexicalized_Parsing_-_12_slides_09-06,concept_vocab_index,Course1_W3-S2-L1_Introduction_1-12,concept_vocab_index,0.8199131790637312
15,Course3_W5-S1-L6_-_Lexicalized_Parsing_-_12_slides_09-06,concept_vocab_index,Course1_W3-S2-L1_Introduction_1-12,concept_vocab_index,0.8199131790637312
16,Course3_W5-S1-L6_-_Lexicalized_Parsing_-_12_slides_09-06,concept_vocab_index,Course1_W3-S2-L1_Introduction_1-12,concept_vocab_index,0.8199131790637312
17,Course3_W5-S1-L6_-_Lexicalized_Parsing_-_12_slides_09-06,concept_vocab_index,Course1_W3-S2-L1_Introduction_1-12,concept_vocab_index,0.8199131790637312
18,Course3_W5-S1-L6_-_Lexicalized_Parsing_-_12_slides_09-06,concept_vocab_index,Course1_W3-S2-L1_Introduction_1-12,concept_vocab_index,0.8199131790637312
19,Course1_W10-S2-L5_GLMs_for_Dependency_Parsing_Part_2_8-28,concept_vocab_index,Course1_W8-S2-L5_Features_and_Beam_Search_12-10,concept_vocab_index,0.9010192026016095
20,Course1_W10-S2-L5_GLMs_for_Dependency_Parsing_Part_2_8-28,concept_vocab_index,Course1_W8-S2-L5_Features_and_Beam_Search_12-10,concept_vocab_index,0.9010192026016095
21,Course1_W10-S2-L5_GLMs_for_Dependency_Parsing_Part_2_8-28,concept_vocab_index,Course1_W8-S2-L5_Features_and_Beam_Search_12-10,concept_vocab_index,0.9010192026016095
22,Course1_W10-S2-L5_GLMs_for_Dependency_Parsing_Part_2_8-28,concept_vocab_index,Course1_W8-S2-L5_Features_and_Beam_Search_12-10,concept_vocab_index,0.9010192026016095
23,Course1_W10-S2-L5_GLMs_for_Dependency_Parsing_Part_2_8-28,concept_vocab_index,Course1_W8-S2-L5_Features_and_Beam_Search_12-10,concept_vocab_index,0.9010192026016095
24,Course1_W10-S2-L5_GLMs_for_Dependency_Parsing_Part_2_8-28,concept_vocab_index,Course1_W8-S2-L5_Features_and_Beam_Search_12-10,concept_vocab_index,0.9010192026016095
25,Course1_W10-S2-L5_GLMs_for_Dependency_Parsing_Part_2_8-28,concept_vocab_index,Course1_W8-S2-L5_Features_and_Beam_Search_12-10,concept_vocab_index,0.9010192026016095
26,Course1_W10-S2-L5_GLMs_for_Dependency_Parsing_Part_2_8-28,concept_vocab_index,Course1_W8-S2-L5_Features_and_Beam_Search_12-10,concept_vocab_index,0.9010192026016095
27,Course1_W10-S2-L5_GLMs_for_Dependency_Parsing_Part_2_8-28,concept_vocab_index,Course1_W8-S2-L5_Features_and_Beam_Search_12-10,concept_vocab_index,0.9010192026016095
28,Course1_W10-S2-L5_GLMs_for_Dependency_Parsing_Part_2_8-28,concept_vocab_index,Course1_W8-S2-L5_Features_and_Beam_Search_12-10,concept_vocab_index,0.9010192026016095
29,Course1_W10-S2-L5_GLMs_for_Dependency_Parsing_Part_2_8-28,concept_vocab_index,Course1_W8-S2-L5_Features_and_Beam_Search_12-10,concept_vocab_index,0.9010192026016095
30,Course1_W10-S2-L5_GLMs_for_Dependency_Parsing_Part_2_8-28,concept_vocab_index,Course1_W8-S2-L5_Features_and_Beam_Search_12-10,concept_vocab_index,0.9010192026016095
31,Course1_W10-S2-L5_GLMs_for_Dependency_Parsing_Part_2_8-28,concept_vocab_index,Course1_W8-S2-L5_Features_and_Beam_Search_12-10,concept_vocab_index,0.9010192026016095
32,Course1_W10-S2-L5_GLMs_for_Dependency_Parsing_Part_2_8-28,concept_vocab_index,Course1_W8-S2-L5_Features_and_Beam_Search_12-10,concept_vocab_index,0.9010192026016095
33,Course1_W10-S2-L5_GLMs_for_Dependency_Parsing_Part_2_8-28,concept_vocab_index,Course1_W8-S2-L5_Features_and_Beam_Search_12-10,concept_vocab_index,0.9010192026016095
34,Course1_W10-S2-L5_GLMs_for_Dependency_Parsing_Part_2_8-28,concept_vocab_index,Course1_W8-S2-L5_Features_and_Beam_Search_12-10,concept_vocab_index,0.9010192026016095
35,Course3_W12-S1-L5_-_Machine_Translation_Basic_Techniques_-_13_slides_11-48,concept_vocab_index,Course1_W5-S1-L1_Opening_Comments_0-25,concept_vocab_index,0.7588827029161198
36,Course3_W12-S1-L5_-_Machine_Translation_Basic_Techniques_-_13_slides_11-48,concept_vocab_index,Course1_W5-S1-L1_Opening_Comments_0-25,concept_vocab_index,0.7588827029161198
37,Course3_W12-S1-L5_-_Machine_Translation_Basic_Techniques_-_13_slides_11-48,concept_vocab_index,Course1_W5-S1-L1_Opening_Comments_0-25,concept_vocab_index,0.7588827029161198
38,Course2_W1-S2-L2_Regular_Expressions_in_Practical_NLP_6-04,concept_vocab_index,Course2_W4-S2-L3_Sequence_Models_for_Named_Entity_Recognition_15-05,concept_vocab_index,0.7506860818897091
39,Course2_W1-S2-L2_Regular_Expressions_in_Practical_NLP_6-04,concept_vocab_index,Course2_W4-S2-L3_Sequence_Models_for_Named_Entity_Recognition_15-05,concept_vocab_index,0.7506860818897091
40,Course2_W1-S2-L2_Regular_Expressions_in_Practical_NLP_6-04,concept_vocab_index,Course2_W4-S2-L3_Sequence_Models_for_Named_Entity_Recognition_15-05,concept_vocab_index,0.7506860818897091
41,Course2_W1-S2-L2_Regular_Expressions_in_Practical_NLP_6-04,concept_vocab_index,Course2_W4-S2-L3_Sequence_Models_for_Named_Entity_Recognition_15-05,concept_vocab_index,0.7506860818897091
42,Course2_W1-S2-L2_Regular_Expressions_in_Practical_NLP_6-04,concept_vocab_index,Course2_W4-S2-L3_Sequence_Models_for_Named_Entity_Recognition_15-05,concept_vocab_index,0.7506860818897091
